Parameter,Target (Golden),Random Start (ACO-R),Optimized (ACO-R),ACO-R + LS,Optimized (GA)
radius,0.065,0.07169445773311257,0.06077943057374931,0.06077740506817658,0.06309269855802242
body_length,2.1,1.57874305593022,2.390412110723447,2.3904210280600022,2.0116823071641106
nose_length,0.65,0.7473602540775175,0.411812513571192,0.4114229432709712,0.5576806286717022
fin_span,0.18,0.23781913301116003,0.24876581820535965,0.2487803546634892,0.1380544747081712
fin_root_chord,0.35,0.3016256244940121,0.27804963688263573,0.27809998506056205,0.3245685511558709
fin_tip_chord,0.12,0.06863171765526124,0.12563333006309377,0.1256069834360229,0.15884870679789426
fin_sweep_angle,30.0,28.91844089823675,38.65363786436089,38.895896075169205,11.594186312657358
fin_distance_from_base,0.0,0.04821225130708904,0.0,0.00030726355746676405,0.03685664148928054
total_impulse,3200.0,2966.5081329911245,3253.825103809517,3253.658657576075,2905.333028152895
burn_time,4.5,4.570116846777665,4.449034677261155,4.450584428725646,4.625406271457999
launch_angle,85.0,87.04763947475946,84.90379267138519,84.98712041497356,87.78060578316929
